hash_function,sample_size,collisions
RS,10000,0
RS,25000,0
RS,50000,0
RS,100000,1
RS,250000,7
RS,1000000,126
JS,10000,0
JS,25000,0
JS,50000,0
JS,100000,0
JS,250000,7
JS,1000000,101
PJW,10000,0
PJW,25000,1
PJW,50000,8
PJW,100000,21
PJW,250000,141
PJW,1000000,2032
ELF,10000,0
ELF,25000,1
ELF,50000,8
ELF,100000,21
ELF,250000,141
ELF,1000000,2032
BKDR,10000,0
BKDR,25000,0
BKDR,50000,0
BKDR,100000,0
BKDR,250000,5
BKDR,1000000,101
SDBM,10000,0
SDBM,25000,0
SDBM,50000,0
SDBM,100000,1
SDBM,250000,11
SDBM,1000000,129
DJB,10000,0
DJB,25000,0
DJB,50000,0
DJB,100000,1
DJB,250000,7
DJB,1000000,117
DEK,10000,0
DEK,25000,0
DEK,50000,2
DEK,100000,3
DEK,250000,8
DEK,1000000,119
AP,10000,0
AP,25000,0
AP,50000,2
AP,100000,4
AP,250000,18
AP,1000000,124
best=JS collisions_at_1000000=101
worst=PJW collisions_at_1000000=2032
